Ipopt 3.13.4: 

******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit https://github.com/coin-or/Ipopt
******************************************************************************

This is Ipopt version 3.13.4, running with linear solver ma27.

Number of nonzeros in equality constraint Jacobian...:     9319
Number of nonzeros in inequality constraint Jacobian.:    31040
Number of nonzeros in Lagrangian Hessian.............:     7180

Total number of variables............................:     3109
                     variables with only lower bounds:        0
                variables with lower and upper bounds:     2527
                     variables with only upper bounds:        0
Total number of equality constraints.................:     2528
Total number of inequality constraints...............:     6208
        inequality constraints with only lower bounds:     6208
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  2.6027658e+01 5.44e+00 1.00e+00   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  2.7516214e+01 4.82e+00 3.69e+00  -0.2 3.52e+01    -  1.66e-01 1.14e-01f  1
   2  2.9154877e+01 4.29e+00 7.12e+00   0.1 3.03e+01    -  1.53e-01 1.10e-01f  1
   3  3.0669621e+01 3.88e+00 5.70e+01   0.2 2.41e+01    -  6.25e-01 9.69e-02f  1
   4  3.2277495e+01 3.67e+00 6.97e+01   1.1 1.21e+02    -  9.05e-02 5.27e-02f  1
   5  3.3065384e+01 3.30e+00 2.61e+02   0.4 6.72e+01    -  3.09e-01 1.02e-01f  1
   6  3.3428602e+01 3.07e+00 7.05e+02   0.4 1.21e+02    -  2.62e-01 6.80e-02f  2
   7  3.3623771e+01 2.91e+00 8.49e+02   0.4 1.43e+02    -  1.34e-01 5.21e-02f  2
   8  3.3789008e+01 2.73e+00 9.42e+02   0.4 2.16e+02    -  1.91e-01 6.14e-02f  1
   9  3.3987742e+01 2.43e+00 8.77e+02   0.4 3.20e+02    -  6.88e-02 1.13e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  3.4020220e+01 2.37e+00 8.16e+02   0.4 2.88e+02    -  4.82e-02 2.49e-02f  1
  11  3.4065078e+01 2.28e+00 8.16e+02   0.4 2.89e+02    -  1.41e-02 3.43e-02f  1
  12  3.4099194e+01 2.23e+00 7.55e+02   0.4 2.57e+02    -  7.70e-02 2.49e-02f  1
  13  3.4137815e+01 2.18e+00 6.41e+02   0.4 2.50e+01   0.0 1.87e-02 2.20e-02h  1
  14  3.4145247e+01 2.17e+00 7.36e+02   0.4 9.53e+01  -0.5 8.94e-03 4.90e-03h  1
  15  3.4177405e+01 2.12e+00 5.83e+03   0.4 5.12e+01  -0.1 7.80e-02 2.00e-02h  1
  16  3.4185400e+01 2.11e+00 5.79e+03   0.4 2.43e+02  -0.5 6.49e-03 7.13e-03h  1
  17  3.4192808e+01 2.10e+00 5.77e+03   0.4 4.21e+02    -  4.68e-03 6.12e-03f  2
  18  3.4196623e+01 2.09e+00 5.46e+03   0.4 2.94e+02    -  1.88e-02 3.82e-03f  1
  19  3.4223421e+01 2.03e+00 5.59e+03   0.4 3.08e+02    -  6.73e-03 2.69e-02f  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  3.4254742e+01 1.96e+00 4.74e+03   0.4 2.57e+02    -  7.58e-02 3.44e-02f  1
  21  3.4277689e+01 1.92e+00 4.26e+03   0.4 3.09e+02    -  5.95e-02 2.37e-02f  1
  22  3.4299802e+01 1.88e+00 4.23e+03   0.4 2.49e+02    -  3.41e-02 1.99e-02f  1
  23  3.4317223e+01 1.81e+00 4.26e+03   0.4 2.95e+02    -  1.73e-03 3.67e-02f  1
  24  3.4331716e+01 1.76e+00 4.12e+03   0.4 2.65e+02    -  3.16e-02 2.88e-02f  1
  25  3.4363277e+01 1.71e+00 3.92e+03   0.4 2.69e+02    -  5.40e-02 2.81e-02f  2
  26  3.4409319e+01 1.64e+00 3.75e+03   0.4 2.49e+02    -  5.53e-02 3.71e-02f  1
  27  3.4428423e+01 1.61e+00 3.66e+03   0.4 2.34e+02    -  1.67e-02 1.83e-02f  1
  28  3.4476031e+01 1.53e+00 3.68e+03   0.4 2.33e+02    -  2.07e-02 5.02e-02f  1
  29  3.4474548e+01 1.53e+00 4.00e+03   0.4 8.80e+02  -1.0 5.26e-04 1.90e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30  3.4480022e+01 1.51e+00 4.26e+03   0.4 9.63e+01  -0.6 2.19e-02 1.24e-02f  1
  31  3.4545593e+01 1.40e+00 3.91e+03   0.4 1.58e+02    -  8.26e-02 7.55e-02f  1
  32  3.4620168e+01 1.24e+00 3.92e+03   0.4 1.62e+02    -  5.59e-02 1.13e-01f  1
  33  3.4688604e+01 1.08e+00 3.23e+03   0.4 1.23e+02    -  1.53e-01 1.31e-01f  1
  34  3.4698407e+01 1.02e+00 3.09e+03   0.4 9.40e+01    -  4.70e-02 5.20e-02f  1
  35  3.4710222e+01 9.66e-01 3.08e+03   0.4 3.40e+01  -1.1 2.32e-02 5.28e-02f  1
  36  3.4797374e+01 7.50e-01 3.41e+03   0.4 7.84e+01    -  4.85e-02 2.24e-01f  1
  37  3.4804709e+01 7.22e-01 3.08e+03   0.4 4.32e+01  -1.5 7.32e-02 3.75e-02f  1
  38  3.4829490e+01 6.47e-01 1.66e+03   0.4 5.36e+01    -  3.29e-01 1.03e-01f  1
  39  3.4890389e+01 4.27e-01 1.81e+03   0.4 4.47e+01    -  7.36e-02 3.40e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40  3.4944116e+01 1.61e-01 2.12e+03   0.4 2.20e+01    -  1.48e-01 6.23e-01f  1
  41  3.4948453e+01 1.28e-01 9.87e+02   0.4 2.51e+01    -  4.33e-01 2.07e-01f  1
  42  3.4951669e+01 7.90e-02 6.15e+02   0.4 2.39e+01    -  3.73e-01 3.81e-01f  1
  43  3.4951122e+01 6.13e-02 4.87e+02   0.4 2.54e+01    -  2.12e-01 2.22e-01f  1
  44  3.4946588e+01 3.15e-02 3.57e+02   0.4 2.45e+01    -  3.42e-01 7.20e-01f  1
  45  3.4939660e+01 3.69e-02 1.65e+02   0.4 2.59e+01    -  5.42e-01 6.40e-01f  1
